,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
2207,"(1, 2)",1,2,484.8333278,154,2,0.154300409,-0.115384565,0.877953471,843.1326904,249.6974182,751.1668091,129.5319214,843.3778519,248.9340067,745.8720248,132.5554227
2208,"(1, 2)",1,2,484.8333278,154,4,0.14620537,-0.086063728,0.949375818,815.3088379,312.7080994,720.369812,153.1390533,815.4335932,312.1216167,716.648209,155.1718002
2209,"(1, 2)",1,2,484.8333278,154,5,0.118516248,-0.118617569,0.91779761,792.163208,267.602356,720.3311768,131.1904602,792.481852,267.0152286,716.370421,133.8240667
2210,"(1, 2)",1,2,484.8333278,154,6,0.137788163,-0.056619685,1.01965891,789.644165,370.5761414,694.2033691,173.0725403,789.6394121,370.070908,691.6711772,174.3786594
2211,"(1, 2)",1,2,484.8333278,154,7,0.108682891,-0.087416843,0.9855232,766.8215332,328.1234436,692.8416138,154.406189,767.0131377,327.6997818,690.1707939,156.1137478
2212,"(1, 2)",1,2,484.8333278,154,8,0.079944401,-0.118628923,0.951718817,743.1544189,284.8522034,692.7578125,132.5406647,743.484096,284.4237581,689.8448327,134.811081
2213,"(1, 2)",1,2,484.8333278,154,9,0.100073505,-0.058881798,1.060143875,742.6086426,384.4157715,666.6993408,174.7670746,742.6534188,384.0568512,665.0402347,175.7879594
2214,"(1, 2)",1,2,484.8333278,154,10,0.070740908,-0.088558253,1.02230634,720.1691895,343.3911133,666.4522705,155.4816132,720.3465683,343.1080778,664.6166984,156.8862522
2215,"(1, 2)",1,2,484.8333278,154,11,0.041680594,-0.119468818,0.988068083,696.5532227,300.8657837,664.1405029,135.5505524,696.8193049,300.5808901,662.1571079,137.4080219
2216,"(0, 1)",0,1,485.0073468,155,2,0.166319632,-0.115779761,0.869909213,620.2158203,236.2293549,857.6447754,246.2109222,619.5335274,236.3669143,857.8729992,245.3926808
2217,"(0, 1)",0,1,485.0073468,155,4,0.155324005,-0.084462442,0.936985419,606.5219727,258.1220093,828.0773926,309.3472595,606.130627,258.1148846,828.171428,308.7159805
2218,"(0, 1)",0,1,485.0073468,155,5,0.126974144,-0.115892933,0.902488388,593.517334,238.3756104,805.388855,263.2681885,593.2452593,238.4047318,805.6898262,262.6381496
2219,"(0, 1)",0,1,485.0073468,155,6,0.14352866,-0.052452731,1.000451378,594.2342529,277.0609741,801.3143311,366.9257507,594.0045558,277.0036215,801.286567,366.3806063
2220,"(0, 2)",0,2,485.0058281,155,2,0.170599161,-0.113970443,0.879070339,620.2158203,236.2293549,760.2984619,129.782486,619.5335274,236.3669143,754.5912884,132.8905522
2221,"(0, 2)",0,2,485.0058281,155,4,0.15889221,-0.08311409,0.948370742,606.5219727,258.1220093,728.2131348,153.624176,606.130627,258.1148846,724.171118,155.7257769
2222,"(0, 2)",0,2,485.0058281,155,5,0.129839142,-0.11622775,0.91503212,593.517334,238.3756104,728.4661865,130.6603394,593.2452593,238.4047318,724.1669444,133.4027522
2223,"(0, 2)",0,2,485.0058281,155,6,0.144649566,-0.052945604,1.010171954,594.2342529,277.0609741,700.9953003,173.1174011,594.0045558,277.0036215,698.2210919,174.485977
2224,"(1, 2)",1,2,485.0076587,155,0,0.222768742,-0.051787195,0.938228418,903.0726318,338.9098511,754.7611084,173.2789001,902.8537272,337.9633547,749.7011328,175.1144972
2225,"(1, 2)",1,2,485.0076587,155,1,0.191268105,-0.081159144,0.89925196,880.1098633,292.866394,757.9801636,152.3057251,880.1181404,292.0305172,752.5919659,154.732195
2226,"(1, 2)",1,2,485.0076587,155,2,0.163431592,-0.112296676,0.866014321,857.6447754,246.2109222,760.2984619,129.782486,857.8729992,245.3926808,754.5912884,132.8905522
2227,"(1, 2)",1,2,485.0076587,155,3,0.183019882,-0.052561296,0.971152336,850.4067383,353.3868713,727.697937,173.1734009,850.2437129,352.6597119,723.8633141,174.7846701
2228,"(1, 2)",1,2,485.0076587,155,4,0.154207257,-0.083119483,0.936692962,828.0773926,309.3472595,728.2131348,153.624176,828.171428,308.7159805,724.171118,155.7257769
2229,"(1, 2)",1,2,485.0076587,155,5,0.128123739,-0.117665579,0.907481998,805.388855,263.2681885,728.4661865,130.6603394,805.6898262,262.6381496,724.1669444,133.4027522
2230,"(1, 2)",1,2,485.0076587,155,6,0.146085803,-0.055343036,1.008225168,801.3143311,366.9257507,700.9953003,173.1174011,801.286567,366.3806063,698.2210919,174.485977
2231,"(1, 2)",1,2,485.0076587,155,7,0.116974153,-0.085457884,0.972253431,779.0895996,323.8250427,700.5112305,154.4135132,779.2733,323.3611931,697.5688089,156.2031188
2232,"(1, 2)",1,2,485.0076587,155,8,0.088219716,-0.116055825,0.937553588,755.6300659,280.2285156,701.2110596,132.3304901,755.9659842,279.7594376,697.995854,134.7069701
2233,"(1, 2)",1,2,485.0076587,155,9,0.107130012,-0.056840596,1.044853102,753.3959961,380.2312012,673.9384766,174.5504761,753.4393262,379.8423977,672.0714722,175.6403714
2234,"(1, 2)",1,2,485.0076587,155,10,0.078617776,-0.087309009,1.008363277,731.3278809,338.4295959,673.7144775,155.0756989,731.5183636,338.1140488,671.6654971,156.5646216
2235,"(1, 2)",1,2,485.0076587,155,11,0.050618004,-0.118115433,0.973646777,708.7741089,295.320282,672.4029541,134.8244781,709.0654257,294.9959673,670.1726166,136.7947621
2236,"(0, 1)",0,1,485.1798695,156,0,0.227298879,-0.049744027,0.926962742,648.505249,277.3309021,911.2990723,337.0263367,647.1880596,277.2152022,911.1028925,336.0413577
2237,"(0, 1)",0,1,485.1798695,156,1,0.201216248,-0.083510295,0.89637683,636.8334961,256.4604492,890.2941895,290.5487061,635.8384583,256.5090249,890.3061719,289.6663888
2238,"(0, 1)",0,1,485.1798695,156,2,0.172879899,-0.115025081,0.863692631,625.7182617,236.6280212,866.7724609,243.4218292,624.9251923,236.7854208,867.0000881,242.5641554
2239,"(0, 1)",0,1,485.1798695,156,5,0.134403792,-0.117119515,0.898072758,598.8487549,237.7327881,814.0786133,259.8037109,598.5120551,237.7819342,814.3676041,259.1436487
2240,"(0, 1)",0,1,485.1798695,156,8,0.095769426,-0.118417602,0.932593872,574.2197266,239.2612152,763.8352661,276.1673279,574.1121776,239.2341558,764.1746592,275.6690134
