,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
2178,"(0, 2)",0,2,190.01009499999998,120,3,0.15385489165782928,0.07926242053508759,0.9745105504989624,534.6232299804688,442.5673522949219,614.1644897460938,224.7637939453125,535.373046875,442.192138671875,614.4513549804688,225.3209228515625
2179,"(0, 2)",0,2,190.01009499999998,120,4,0.15050587058067322,0.03020181879401207,0.9758986830711365,533.4907836914062,407.48468017578125,622.2976684570312,188.43943786621094,534.1370239257812,407.3606262207031,622.6678466796875,189.5947723388672
2180,"(0, 2)",0,2,190.01009499999998,120,5,0.14433187246322632,-0.018686097115278244,0.9758511781692505,529.6015625,371.5766906738281,629.6565551757812,149.8263702392578,530.2991333007812,371.65863037109375,630.1035766601562,151.9608917236328
2181,"(0, 2)",0,2,190.01009499999998,120,6,0.19904309511184692,0.06854764372110367,0.959430456161499,573.4699096679688,441.04010009765625,647.5479736328125,227.474853515625,573.7413940429688,440.8382873535156,647.6311645507812,227.90330505371094
2182,"(0, 2)",0,2,190.01009499999998,120,7,0.1932687759399414,0.02019480988383293,0.9590746164321899,571.0534057617188,406.519287109375,655.3866577148438,192.27906799316406,571.2607421875,406.46173095703125,655.4682006835938,193.26559448242188
2183,"(0, 2)",0,2,190.01009499999998,120,8,0.1872320920228958,-0.02747892215847969,0.9588989019393921,568.154296875,370.6819152832031,663.4539184570312,155.35980224609375,568.3773803710938,370.7233581542969,663.4871826171875,157.2542724609375
2184,"(0, 2)",0,2,190.01009499999998,120,9,0.24096842110157013,0.05870675668120384,0.9434962868690491,610.5369262695312,440.4075927734375,678.388916015625,230.52256774902344,610.6077270507812,440.30548095703125,678.3406372070312,230.90716552734375
2185,"(0, 2)",0,2,190.01009499999998,120,10,0.23534704744815826,0.011786430142819881,0.9432427287101746,609.1751708984375,406.5055236816406,686.6250610351562,196.62396240234375,609.2059936523438,406.4878845214844,686.4814453125,197.53878784179688
2186,"(0, 2)",0,2,190.01009499999998,120,11,0.2295742779970169,-0.035838622599840164,0.9424730539321899,607.6595458984375,370.5843505859375,695.7772216796875,160.23779296875,607.6895141601562,370.59588623046875,695.457275390625,162.0372772216797
2187,"(1, 2)",1,2,190.010625875,120,0,0.10548011213541031,0.07030422240495682,0.9934462904930115,781.8267822265625,433.2000427246094,581.22119140625,221.3081817626953,782.0396728515625,433.3030090332031,581.8526000976562,222.09259033203125
2188,"(1, 2)",1,2,190.010625875,120,1,0.10126560181379318,0.01904306933283806,1.000206708908081,774.84375,361.1301574707031,587.4444580078125,182.94711303710938,775.003662109375,361.1567687988281,588.2620239257812,184.4328155517578
2189,"(1, 2)",1,2,190.010625875,120,2,0.09661836177110672,-0.0315885953605175,1.0033557415008545,767.915283203125,290.5174865722656,594.2140502929688,144.32754516601562,768.0584106445312,290.490234375,595.2173461914062,146.84371948242188
2190,"(1, 2)",1,2,190.010625875,120,3,0.15740811824798584,0.06517522782087326,0.9918801784515381,855.034912109375,425.8564758300781,614.1644897460938,224.7637939453125,855.489013671875,426.005859375,614.4513549804688,225.3209228515625
2191,"(1, 2)",1,2,190.010625875,120,4,0.15181314945220947,0.013821179047226906,0.992868959903717,846.7628784179688,353.9462890625,622.2976684570312,188.43943786621094,847.1453857421875,353.9835205078125,622.6678466796875,189.5947723388672
2192,"(1, 2)",1,2,190.010625875,120,5,0.1475047618150711,-0.037171583622694016,0.9984522461891174,839.4439086914062,282.693115234375,629.6565551757812,149.8263702392578,839.7994995117188,282.640380859375,630.1035766601562,151.9608917236328
2193,"(1, 2)",1,2,190.010625875,120,6,0.20886333286762238,0.059900980442762375,0.9860551953315735,928.5643310546875,419.4208984375,647.5479736328125,227.474853515625,929.3778076171875,419.6190185546875,647.6311645507812,227.90330505371094
2194,"(1, 2)",1,2,190.010625875,120,7,0.20364639163017273,0.008849339559674263,0.9893458485603333,920.1719360351562,347.3299560546875,655.3866577148438,192.27906799316406,920.8982543945312,347.37548828125,655.4682006835938,193.26559448242188
2195,"(1, 2)",1,2,190.010625875,120,8,0.19916585087776184,-0.04263569414615631,0.9932528734207153,912.78076171875,274.8563232421875,663.4539184570312,155.35980224609375,913.469970703125,274.7689514160156,663.4871826171875,157.2542724609375
2196,"(1, 2)",1,2,190.010625875,120,9,0.25656047463417053,0.05684396252036095,0.9781478047370911,998.0599365234375,416.8163757324219,678.388916015625,230.52256774902344,999.3218994140625,417.0674133300781,678.3406372070312,230.90716552734375
2197,"(1, 2)",1,2,190.010625875,120,10,0.2544124722480774,0.002871348988264799,0.9826182126998901,993.8744506835938,338.798583984375,686.6250610351562,196.62396240234375,995.064453125,338.8431091308594,686.4814453125,197.53878784179688
2198,"(0, 1)",0,1,190.34344579999998,121,0,0.08802731335163116,0.06519763171672821,0.9139631390571594,481.55499267578125,450.63555908203125,761.5283203125,431.6568603515625,483.599365234375,449.84442138671875,761.6910400390625,431.7435302734375
2199,"(0, 1)",0,1,190.34344579999998,121,1,0.08318778872489929,0.016762327402830124,0.9060309529304504,477.5809631347656,414.5520324707031,754.4078369140625,357.1775817871094,479.55914306640625,414.21881103515625,754.5223999023438,357.1965026855469
2200,"(0, 1)",0,1,190.34344579999998,121,2,0.07790782302618027,-0.029810575768351555,0.8961552381515503,472.5540466308594,378.1459045410156,746.6097412109375,284.0607604980469,474.64923095703125,378.2350158691406,746.7116088867188,284.0343933105469
