sync_index,port,frame_index,frame_time
35,0,4,3340.34915145
35,1,35,3340.33566145
36,2,34,3340.3916670999997
36,1,36,3340.37173055
37,2,35,3340.4271461999997
37,1,37,3340.40767235
38,2,36,3340.45279205
38,1,38,3340.4340953
39,2,37,3340.4887494000004
39,0,5,3340.4832127500003
39,1,39,3340.46991015
40,2,38,3340.5151527
40,1,40,3340.49570235
41,2,39,3340.55106345
41,1,41,3340.5405642
42,2,40,3340.5868526
42,1,42,3340.5856433
43,2,41,3340.62106125
43,0,6,3340.6173331500004
43,1,43,3340.6116088
44,2,42,3340.66690165
44,1,44,3340.64796285
45,2,43,3340.69343415
45,1,45,3340.673963
46,2,44,3340.7294092
46,1,46,3340.7097125
47,2,45,3340.7549088
47,0,7,3340.74916925
47,1,47,3340.7357474
48,2,46,3340.7913969
48,1,48,3340.7719026
49,2,47,3340.8277549
49,1,49,3340.80849985
50,2,48,3340.85300155
50,1,50,3340.8340838000004
51,2,49,3340.88876695
51,0,8,3340.8831269
51,1,51,3340.87009545
52,2,50,3340.91497585
52,1,52,3340.8958343
53,2,51,3340.9516900999997
53,1,53,3340.93993885
54,2,52,3340.98681905
54,1,54,3340.97562585
55,2,53,3341.0211297
55,0,9,3341.01727245
55,1,55,3341.01167035
56,2,54,3341.0669076000004
56,1,56,3341.04771
57,2,55,3341.0934087
57,1,57,3341.0740911499997
58,2,56,3341.12976025
58,1,58,3341.1099056499997
59,2,57,3341.1549351
59,0,10,3341.1495811
59,1,59,3341.13579845
60,2,58,3341.1912402999997
60,1,60,3341.171657
61,2,59,3341.22719615
61,1,61,3341.2084219999997
62,2,60,3341.2533136
62,1,62,3341.2343071
63,2,61,3341.28876885
63,0,11,3341.28329655
63,1,63,3341.2702744
64,2,62,3341.31505375
64,1,64,3341.2956301000004
65,2,63,3341.3510931
65,1,65,3341.33972325
66,2,64,3341.386821
66,1,66,3341.3757508
67,2,65,3341.42076485
67,0,12,3341.417239
67,1,67,3341.4117262
68,2,66,3341.4668088500002
68,1,68,3341.4477973
69,2,67,3341.4928943
69,1,69,3341.4736871
70,2,68,3341.52919405
70,1,70,3341.50989105
71,2,69,3341.5547857
71,0,13,3341.5491415
71,1,71,3341.53736
72,2,70,3341.59068465
72,1,72,3341.57173145
73,2,71,3341.62689605
73,1,73,3341.6077217
74,2,72,3341.6545330500003
74,1,74,3341.63371735
75,2,73,3341.6890433
75,0,14,3341.6832791
75,1,75,3341.6698793
76,2,74,3341.71497885
76,1,76,3341.6959132
77,2,75,3341.75096885
77,1,77,3341.7401966999996
78,2,76,3341.78731895
78,1,78,3341.77578555
79,2,77,3341.8208826500004
79,0,15,3341.8177139
79,1,79,3341.81166795
80,2,78,3341.8676354
80,1,80,3341.8478629
81,2,79,3341.89303365
81,1,81,3341.87478335
82,2,80,3341.92882645
82,1,82,3341.9101284500002
83,2,81,3341.9551097000003
83,0,16,3341.9493929
83,1,83,3341.9358481
84,2,82,3341.9909421499997
84,1,84,3341.9716682
85,2,83,3342.02682455
85,1,85,3342.0079717
86,2,84,3342.0530447
86,1,86,3342.0345679499997
87,2,85,3342.08879475
87,0,17,3342.0832478
87,1,87,3342.0698890000003
88,2,86,3342.1154038
88,1,88,3342.0955973500004
89,2,87,3342.1511631
89,1,89,3342.14025255
90,2,88,3342.186766
90,1,90,3342.1758487
91,2,89,3342.22069515
91,0,18,3342.21714435
91,1,91,3342.2119334
92,2,90,3342.26671205
92,1,92,3342.2480587
93,2,91,3342.2926617
93,1,93,3342.28388635
94,2,92,3342.3287992
94,1,94,3342.32250525
95,0,19,3342.34907585
95,1,95,3342.34583215
96,2,93,3342.3625401
96,1,96,3342.37173885
97,2,94,3342.4014039
97,1,97,3342.407875
98,2,95,3342.42720945
98,1,98,3342.4342317
99,2,96,3342.4531162499998
99,1,99,3342.4698577500003
100,2,97,3342.48887095
100,0,20,3342.4833182
100,1,100,3342.4955577
101,2,98,3342.51504845
101,1,101,3342.5319521
102,2,99,3342.5512037999997
102,1,102,3342.57616775
103,2,100,3342.5870471
103,1,103,3342.6117942
104,2,101,3342.6127323
104,0,21,3342.61749535
105,2,102,3342.65674145
105,1,104,3342.64765585
