sync_index,port,frame_index,frame_time
108,2,108,151965.24763310002
109,2,109,151965.27380405
110,2,110,151965.31008445
110,1,26,151965.31898405
111,2,111,151965.33516405
111,0,35,151965.33328895
112,2,112,151965.37177015
113,2,113,151965.4075537
114,2,114,151965.4336871
114,1,27,151965.45134275
114,0,36,151965.4451149
115,2,115,151965.46968545002
116,2,116,151965.49527865002
117,2,117,151965.53177565
117,0,37,151965.5392299
118,2,118,151965.56755540002
118,1,28,151965.59479965002
119,2,119,151965.6016741
119,0,38,151965.6272243
120,2,120,151965.6487653
121,2,121,151965.67357004998
122,2,122,151965.70955859998
122,1,29,151965.71880675002
123,2,123,151965.73519044998
123,0,39,151965.73331245
124,2,124,151965.77153595
125,2,125,151965.80767075001
126,2,126,151965.8336843
126,1,30,151965.85082634998
126,0,40,151965.8410605
127,2,127,151965.8692122
128,2,128,151965.89516800002
129,2,129,151965.931847
129,0,41,151965.93934915
130,2,130,151965.96757705
130,1,31,151965.9947173
131,2,131,151966.00126035
131,0,42,151966.02730675
132,2,132,151966.0476306
133,2,133,151966.07370755
134,2,134,151966.10963055003
134,1,32,151966.1187516
135,2,135,151966.13505019998
135,0,43,151966.1333093
136,2,136,151966.17153835
137,2,137,151966.20749035
138,2,138,151966.23367785
138,1,33,151966.25073154998
138,0,44,151966.24106874998
139,2,139,151966.26912050002
140,2,140,151966.29507085
141,2,141,151966.33204399998
141,0,45,151966.3394525
142,2,142,151966.3674196
142,1,34,151966.39469654998
143,2,143,151966.40180195
143,0,46,151966.42723245
144,2,144,151966.4476753
145,2,145,151966.47365055
146,2,146,151966.50961870002
146,1,35,151966.51880785002
147,2,147,151966.53516505
147,0,47,151966.53339035
148,2,148,151966.57163545
149,2,149,151966.60785580002
150,2,150,151966.63359195
150,1,36,151966.6429341
150,0,48,151966.64135915
151,2,151,151966.6692078
152,2,152,151966.69716465002
153,2,153,151966.73208585
153,0,49,151966.7392122
154,2,154,151966.7675189
154,1,37,151966.7852482
155,2,155,151966.8013046
155,0,50,151966.82739624998
156,2,156,151966.8478153
157,2,157,151966.87404775
158,2,158,151966.9096298
158,1,38,151966.9188323
159,2,159,151966.93514865
159,0,51,151966.9338793
160,2,160,151966.9715495
161,2,161,151967.0074627
162,2,162,151967.03364074999
162,1,39,151967.04345415
162,0,52,151967.0410651
163,2,163,151967.0692757
164,2,164,151967.09547915
165,2,165,151967.13140850002
165,0,53,151967.13921885
166,2,166,151967.1681522
166,1,40,151967.18460575
167,2,167,151967.20109885
167,0,54,151967.22717085
168,2,168,151967.2475231
169,2,169,151967.273666
170,2,170,151967.3092222
170,1,41,151967.31911155
171,2,171,151967.33514945
171,0,55,151967.33338335
172,2,172,151967.3715708
173,2,173,151967.407644
174,2,174,151967.43359345
174,1,42,151967.44295965
174,0,56,151967.44176135003
175,2,175,151967.46931615
176,2,176,151967.4959347
177,2,177,151967.53214244999
177,0,57,151967.5391096
178,2,178,151967.56752635
178,1,43,151967.58481915
179,2,179,151967.59333504998
179,0,58,151967.62723694998
180,2,180,151967.63761580002
181,2,181,151967.6740981
182,2,182,151967.70968775
182,1,44,151967.7187581
183,2,183,151967.73535894998
183,0,59,151967.7333211
184,2,184,151967.77662035
185,2,185,151967.8077272
186,2,186,151967.83355435
186,1,45,151967.8428599
186,0,60,151967.8410977
187,2,187,151967.8692498
188,2,188,151967.8955722
189,2,189,151967.93164204998
189,0,61,151967.93912310002
190,2,190,151967.96756015002
190,1,46,151967.98481985
191,2,191,151967.99318355002
191,0,62,151968.02746394998
192,2,192,151968.03770725
193,2,193,151968.07368809998
194,2,194,151968.1093904
194,1,47,151968.1185904
195,2,195,151968.13543944998
195,0,63,151968.1334611
196,2,196,151968.1715662
197,2,197,151968.20739584998
198,2,198,151968.2337165
198,1,48,151968.24276155
198,0,64,151968.2411177
199,2,199,151968.2692101
200,2,200,151968.29587635002
201,2,201,151968.3318027
201,0,65,151968.33917614998
202,2,202,151968.36783524998
202,1,49,151968.38480205002
203,2,203,151968.39324055
203,0,66,151968.42730490002
204,2,204,151968.43789145
205,2,205,151968.47364535002
206,2,206,151968.509338
206,1,50,151968.51879385
207,2,207,151968.5351515
207,0,67,151968.53329594998
208,2,208,151968.57154625002
209,2,209,151968.60806539998
210,2,210,151968.63405345002
210,1,51,151968.64286949998
210,0,68,151968.6412708
211,2,211,151968.66919895
212,2,212,151968.6958047
213,2,213,151968.73146945
213,0,69,151968.73921104998
214,2,214,151968.76771255
214,1,52,151968.7849356
215,2,215,151968.79317555
215,0,70,151968.82729505002
216,2,216,151968.838704
217,2,217,151968.87386410002
218,2,218,151968.90937880002
218,1,53,151968.9193556
219,2,219,151968.93517805001
219,0,71,151968.9338549
220,2,220,151968.9715717
221,2,221,151969.00772885
222,2,222,151969.0339392
222,1,54,151969.04286495002
222,0,72,151969.04108735
223,2,223,151969.0693112
224,2,224,151969.0955003
225,2,225,151969.13165365
225,0,73,151969.1392221
226,2,226,151969.1685488
226,1,55,151969.18481685
227,2,227,151969.19328424998
227,0,74,151969.2272236
228,2,228,151969.23755299998
229,2,229,151969.27353135002
230,2,230,151969.30931455002
230,1,56,151969.31886035
231,2,231,151969.3352419
231,0,75,151969.33330085
