,pair,port_A,port_B,time,sync_index,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
3520,"(0, 1)",0,1,42229.843067825,234,5,-0.2426089197397232,-0.29515618085861206,1.1279575824737549,261.6214294433594,200.36953735351562,487.63909912109375,101.07506561279297,261.2210998535156,199.95648193359375,486.9469909667969,101.45091247558594
3521,"(0, 1)",0,1,42229.843067825,234,6,-0.2254902571439743,-0.202373206615448,1.1761293411254883,288.1318054199219,250.31063842773438,539.5813598632812,181.38865661621094,288.148193359375,250.13546752929688,538.5821533203125,181.54849243164062
3522,"(0, 1)",0,1,42229.843067825,234,7,-0.21103785932064056,-0.2400655895471573,1.1555235385894775,286.35296630859375,229.60194396972656,535.3139038085938,139.3678741455078,286.271484375,229.4952850341797,534.3112182617188,139.67803955078125
3523,"(0, 1)",0,1,42229.843067825,234,8,-0.19913259148597717,-0.28337252140045166,1.141345739364624,283.9064025878906,204.58226013183594,531.1044311523438,96.48953247070312,283.6833190917969,204.35848999023438,530.0455932617188,96.97453308105469
3524,"(0, 1)",0,1,42229.843067825,234,9,-0.18223614990711212,-0.19063986837863922,1.190029263496399,312.5855712890625,256.5466003417969,584.2725830078125,178.33811950683594,312.6106872558594,256.38043212890625,582.6757202148438,178.5696563720703
3525,"(0, 1)",0,1,42229.843067825,234,10,-0.16871047019958496,-0.23040975630283356,1.173425316810608,312.2681884765625,234.82334899902344,580.4037475585938,135.4600372314453,312.2660827636719,234.79736328125,578.7247314453125,135.93057250976562
3526,"(0, 1)",0,1,42229.843067825,234,11,-0.1552148461341858,-0.2712045907974243,1.1556214094161987,310.73272705078125,211.21847534179688,576.3143310546875,91.31440734863281,310.6767578125,211.1533660888672,574.3839721679688,92.14276123046875
3527,"(0, 2)",0,2,42229.84238755,234,0,-0.08467138558626175,-0.19309648871421814,0.9193584322929382,244.43238830566406,241.6332550048828,282.706298828125,96.23773956298828,244.31692504882812,241.18580627441406,283.9927062988281,100.31779479980469
3528,"(0, 2)",0,2,42229.84238755,234,1,-0.06789452582597733,-0.22506867349147797,0.8918715715408325,239.82766723632812,219.43685913085938,289.691650390625,71.5687026977539,239.4798583984375,218.9499969482422,291.05474853515625,77.84378814697266
3529,"(0, 2)",0,2,42229.84238755,234,2,-0.05143415927886963,-0.2546386122703552,0.8686356544494629,236.62574768066406,196.32281494140625,297.5800476074219,47.418697357177734,236.03634643554688,195.64517211914062,298.8594055175781,56.37025451660156
3530,"(0, 2)",0,2,42229.84238755,234,3,-0.0417802520096302,-0.18067504465579987,0.9103061556816101,264.88397216796875,245.8574981689453,304.48797607421875,103.67904663085938,264.83935546875,245.57212829589844,305.0271301269531,106.93558502197266
3531,"(0, 2)",0,2,42229.84238755,234,4,-0.02226480282843113,-0.20839610695838928,0.883888304233551,263.55010986328125,224.4756317138672,313.7864990234375,82.37560272216797,263.3430480957031,224.21795654296875,314.1531677246094,87.37715148925781
3532,"(0, 2)",0,2,42229.84238755,234,5,-0.005346151068806648,-0.2388755828142166,0.8595716953277588,261.6214294433594,200.36953735351562,322.63800048828125,56.951969146728516,261.2210998535156,199.95648193359375,322.7109069824219,64.62002563476562
3533,"(0, 2)",0,2,42229.84238755,234,6,0.0008647816139273345,-0.16873173415660858,0.9014371037483215,288.1318054199219,250.31063842773438,326.46453857421875,110.80595397949219,288.148193359375,250.13546752929688,326.421142578125,113.48667907714844
3534,"(0, 2)",0,2,42229.84238755,234,7,0.02064603567123413,-0.19472123682498932,0.8708062171936035,286.35296630859375,229.60194396972656,336.71295166015625,89.7100830078125,286.271484375,229.4952850341797,336.3245849609375,94.05741119384766
