,pair,port_A,port_B,time,bundle,id,x_pos,y_pos,z_pos,x_A_raw,y_A_raw,x_B_raw,y_B_raw,x_A_undistorted,y_A_undistorted,x_B_undistorted,y_B_undistorted
612,"(1, 2)",1,2,465.98908137499996,45,3,-0.11738499457861619,-0.003016112911980243,0.9437521736708469,548.7593994140625,389.15252685546875,601.0554809570312,185.1101531982422,548.7502384942886,389.11471623314395,600.6934128437765,185.50462182875032
613,"(1, 2)",1,2,465.98908137499996,45,4,-0.1173945330698155,-0.04858356649810468,0.9185222834393081,549.47119140625,332.5682067871094,607.7052612304688,158.38015747070312,549.4905946640438,332.54967597325566,607.1029272725523,159.20782830047816
614,"(1, 2)",1,2,465.98908137499996,45,5,-0.11667666904514878,-0.09350327878988364,0.8898456779362621,551.0992431640625,275.203369140625,617.2586669921875,128.6490478515625,551.1631590694337,275.0795317617806,616.2737762097437,130.21022629463164
615,"(1, 2)",1,2,465.98908137499996,45,6,-0.16913600618608843,-0.004820265675727116,0.9463056245490203,491.9708251953125,388.37249755859375,575.2952880859375,182.71115112304688,491.9805582952426,388.33846559119553,575.1342641618106,183.02214508189246
616,"(1, 2)",1,2,465.98908137499996,45,7,-0.16755307434037683,-0.05286504982717347,0.9259044779230721,493.69183349609375,332.1507873535156,581.63818359375,153.77877807617188,493.69080203710155,332.1466109594479,581.3106346922671,154.5367889641908
617,"(1, 2)",1,2,465.98908137499996,45,8,-0.1681952885427473,-0.09419258472942743,0.8906336167403123,494.35198974609375,274.4933776855469,590.9967041015625,125.25151824951172,494.35209906417026,274.39448148922384,590.4023840746188,126.70409483997176
618,"(1, 2)",1,2,465.98908137499996,45,9,-0.22069984988089422,-0.008014907597160297,0.9524899379040792,434.98681640625,388.1324157714844,548.465576171875,179.17979431152344,435.0453467130159,388.0644973479738,548.4296218255121,179.46915454696506
619,"(1, 2)",1,2,465.98908137499996,45,10,-0.22055613262515794,-0.05107391081433979,0.9208328496826041,435.88629150390625,330.89532470703125,555.4952392578125,152.03570556640625,435.89349456643447,330.86551014736415,555.3781596452251,152.73590863761365
620,"(0, 1)",0,1,466.160512425,46,2,-0.08823017407581953,-0.08599161634273833,0.878117238179785,470.43212890625,253.69215393066406,584.0577392578125,276.2791748046875,470.5198895309774,253.65262842094114,584.1729565634952,276.124724559222
621,"(0, 1)",0,1,466.160512425,46,3,-0.13818894433313653,0.004208772026191016,0.934891994256309,446.1439208984375,306.2459411621094,527.0972900390625,392.1686706542969,446.4907416921393,306.1010584337756,527.0909955584136,392.13163945630953
622,"(0, 1)",0,1,466.160512425,46,4,-0.14043075119752182,-0.03961577570906131,0.9058858810924107,442.00299072265625,281.36846923828125,525.6942749023438,335.15899658203125,442.3447104984766,281.302289549196,525.7000191599192,335.1528106876554
623,"(0, 1)",0,1,466.160512425,46,5,-0.13963787518479537,-0.08558283426384992,0.8803505962076319,439.73406982421875,253.78318786621094,527.139404296875,277.4610290527344,440.1198245113293,253.79815042299074,527.1709983126946,277.35990770776004
624,"(0, 1)",0,1,466.160512425,46,7,-0.1905442971791408,-0.04048174882204643,0.9084300709897243,412.6461181640625,280.6617431640625,470.00640869140625,335.4969177246094,413.5361459803829,280.55964926802176,470.007169608292,335.4886605251172
625,"(0, 1)",0,1,466.160512425,46,8,-0.19145956709730186,-0.08774147022139635,0.8853514351003912,410.39300537109375,253.25302124023438,468.7557373046875,277.4678649902344,411.3472633417747,253.33430003518083,468.73788958804414,277.37546961737746
626,"(0, 1)",0,1,466.160512425,46,10,-0.24331066288207812,-0.038596076536860244,0.906525165518441,382.428955078125,282.29486083984375,410.6343994140625,335.99005126953125,384.23298574217654,282.1153427235084,410.6597242520231,335.9379619005058
