,sync_index,port_A,port_B,time_A,time_B,point_id,loc_board_x,loc_board_y,loc_img_x_A,loc_img_y_A,loc_img_x_B,loc_img_y_B
2247,156,1,2,485.17890405,485.1798753,3,0.05249999836087227,0.10499999672174454,858.6116333007812,350.5702819824219,731.9981689453125,172.47579956054688
2248,156,1,2,485.17890405,485.1798753,4,0.10499999672174454,0.10499999672174454,836.529052734375,305.5255126953125,733.27978515625,152.51832580566406
2249,156,1,2,485.17890405,485.1798753,5,0.1574999988079071,0.10499999672174454,813.8504028320312,260.14349365234375,734.744140625,130.6760711669922
2250,156,1,2,485.17890405,485.1798753,6,0.05249999836087227,0.1574999988079071,808.6783447265625,364.3711242675781,704.5909423828125,172.82232666015625
2251,156,1,2,485.17890405,485.1798753,7,0.10499999672174454,0.1574999988079071,786.2706298828125,320.386474609375,705.0562744140625,153.21876525878906
2252,156,1,2,485.17890405,485.1798753,8,0.1574999988079071,0.1574999988079071,763.8111572265625,276.0932922363281,705.2750244140625,132.47463989257812
2253,156,1,2,485.17890405,485.1798753,9,0.05249999836087227,0.20999999344348907,760.6646118164062,376.652587890625,678.52978515625,173.51837158203125
2254,156,1,2,485.17890405,485.1798753,10,0.10499999672174454,0.20999999344348907,738.66845703125,334.68402099609375,677.6862182617188,154.3284149169922
2255,156,1,2,485.17890405,485.1798753,11,0.1574999988079071,0.20999999344348907,716.2175903320312,291.5305480957031,677.306884765625,133.46035766601562
2256,157,1,2,485.35258505,485.35139275,0,0.05249999836087227,0.05249999836087227,924.8063354492188,332.7005615234375,764.5430908203125,171.4512939453125
2257,157,1,2,485.35258505,485.35139275,1,0.10499999672174454,0.05249999836087227,903.5543823242188,285.1630554199219,768.1893310546875,150.50624084472656
2258,157,1,2,485.35258505,485.35139275,2,0.1574999988079071,0.05249999836087227,881.8776245117188,236.8458709716797,772.248046875,128.060791015625
2259,157,1,2,485.35258505,485.35139275,3,0.05249999836087227,0.10499999672174454,870.8290405273438,346.53436279296875,736.560302734375,171.63719177246094
2260,157,1,2,485.35258505,485.35139275,4,0.10499999672174454,0.10499999672174454,849.5076904296875,300.4830627441406,738.1943359375,151.40206909179688
2261,157,1,2,485.35258505,485.35139275,5,0.1574999988079071,0.10499999672174454,827.7000732421875,253.323486328125,740.560791015625,129.58396911621094
2262,158,0,1,485.5240728,485.52764705,2,0.1574999988079071,0.05249999836087227,634.4910888671875,239.8093719482422,887.792236328125,240.31887817382812
2263,158,0,1,485.5240728,485.52764705,4,0.10499999672174454,0.10499999672174454,616.7369995117188,262.6727600097656,853.7206420898438,304.8051452636719
