sync_index,port,frame_index,frame_time
85,0,463,178.33853045
85,2,462,178.3532927
86,1,465,178.6762488
86,0,464,178.6725453
86,2,463,178.6846815
87,1,466,179.00620575
87,0,465,179.0075873
87,2,464,179.0148542
88,1,467,179.34153905
88,0,466,179.34257309999998
88,2,465,179.34700479999998
89,1,468,179.6769687
89,0,467,179.67189455
89,2,466,179.6819557
90,1,469,180.01085204999998
90,0,468,180.0060344
90,2,467,180.01538054999997
91,1,470,180.33976695
91,0,469,180.34093475
91,2,468,180.3441994
92,1,471,180.6736924
92,0,470,180.6716542
92,2,469,180.677906
93,1,472,181.0052393
93,0,471,181.00674715
93,2,470,181.0089479
94,1,473,181.33961125000002
94,0,472,181.34052315
94,2,471,181.34379109999998
95,1,474,181.675059
95,0,473,181.67171969999998
95,2,472,181.68664705
96,1,475,182.01710955
96,0,474,182.00644035
96,2,473,182.01817445
97,1,476,182.33774885
97,0,475,182.34891815
97,2,474,182.349884
98,1,477,182.68039199999998
98,0,476,182.6737126
98,2,475,182.68139525
99,1,478,183.00688335
99,0,477,183.00771265
99,2,476,183.01183745
100,1,479,183.3405137
100,0,478,183.3400246
100,2,477,183.3451207
101,1,480,183.67276885
101,0,479,183.67377335
101,2,478,183.6868323
102,1,481,184.00636775
102,0,480,184.02079525
102,2,479,184.01984514999998
103,1,482,184.3525082
103,0,481,184.3505289
103,2,480,184.33803835
104,1,483,184.68450355
104,0,482,184.6742611
104,2,481,184.68251579999998
105,1,484,185.01500075
105,0,483,185.00506955
105,2,482,185.00618544999998
106,1,485,185.3478914
106,0,484,185.3396148
106,2,483,185.33871315
107,1,486,185.6830564
107,0,485,185.67251965
107,2,484,185.6734994
108,1,487,186.01744225
108,0,486,186.0061636
108,2,485,186.0042881
109,1,488,186.3448037
109,0,487,186.34148115
109,2,486,186.33925425
110,1,489,186.6806822
110,0,488,186.67305285
110,2,487,186.67289515
111,1,490,187.01288695
111,0,489,187.00511085
111,2,488,187.0056062
112,1,491,187.3443312
112,0,490,187.340278
112,2,489,187.33831099999998
113,1,492,187.67722794999997
113,0,491,187.67166595
113,2,490,187.67264185
114,1,493,188.02172415
114,0,492,188.00689284999999
114,2,491,188.00594790000002
115,1,494,188.3538019
115,0,493,188.3518119
115,2,492,188.33878475
116,1,495,188.689011
116,0,494,188.6722471
116,2,493,188.6870618
117,1,496,189.01972899999998
117,0,495,189.02067340000002
117,2,494,189.00499875
118,1,497,189.33974715
118,0,496,189.35036245
118,2,495,189.35104635
119,1,498,189.68389765
119,0,497,189.67209185000002
119,2,496,189.68175405
120,1,499,190.01666335
120,0,498,190.0156016
120,2,497,190.0045884
121,1,500,190.34729670000002
121,0,499,190.3395949
121,2,498,190.34679995
122,1,501,190.67744570000002
122,0,500,190.6746897
122,2,499,190.67437375
123,1,502,191.0214172
123,0,501,191.0083894
123,2,500,191.00492780000002
124,1,503,191.34178515
124,0,502,191.34252924999998
124,2,501,191.33866899999998
125,1,504,191.67484835
125,0,503,191.68588525
125,2,502,191.67204155000002
126,1,505,192.00789885
126,0,504,192.01785285
126,2,503,192.0094285
127,1,506,192.34156735
127,0,505,192.35254815000002
127,2,504,192.33855255
128,1,507,192.67363225000003
128,0,506,192.68260465
128,2,505,192.6746817
129,1,508,193.00727015
129,0,507,193.0132864
129,2,506,193.00711155
130,1,509,193.3415143
130,0,508,193.34473735
130,2,507,193.33880605000002
131,1,510,193.67818065
131,0,509,193.67325979999998
131,2,508,193.6717348
132,1,511,194.0213382
132,0,510,194.0070935
132,2,509,194.0060975
133,1,512,194.35546405
133,0,511,194.3409915
133,2,510,194.33887670000001
134,1,513,194.6872965
134,0,512,194.67109405
134,2,511,194.67314240000002
135,1,514,195.01558735
135,0,513,195.0058166
135,2,512,195.0165541
136,1,515,195.33955405
136,0,514,195.34526895
136,2,513,195.34625069999998
137,1,516,195.67420825
137,0,515,195.6722135
137,2,514,195.67851995
