sync_index,port,frame_index,frame_time,point_id,img_loc_x,img_loc_y,board_loc_x,board_loc_y
60,3,45,103657.50169194999,5,1191.1771240234375,676.0499877929688,0.16200000047683716,0.1080000028014183
70,3,50,103657.9842091,0,1095.11083984375,682.3248901367188,0.05400000140070915,0.05400000140070915
70,3,50,103657.9842091,1,1112.9459228515625,669.7044677734375,0.1080000028014183,0.05400000140070915
70,3,50,103657.9842091,2,1136.5675048828125,658.4727172851562,0.16200000047683716,0.05400000140070915
71,3,51,103658.0595099,0,1094.9495849609375,681.7105102539062,0.05400000140070915,0.05400000140070915
71,3,51,103658.0595099,1,1113.7506103515625,669.7221069335938,0.1080000028014183,0.05400000140070915
71,3,51,103658.0595099,5,1188.949462890625,676.1407470703125,0.16200000047683716,0.1080000028014183
74,3,53,103658.37073655,0,1095.347900390625,681.8076171875,0.05400000140070915,0.05400000140070915
74,3,53,103658.37073655,1,1112.8497314453125,669.7236328125,0.1080000028014183,0.05400000140070915
74,3,53,103658.37073655,5,1188.9322509765625,676.3359985351562,0.16200000047683716,0.1080000028014183
80,3,57,103658.66770729999,0,1095.1676025390625,682.400390625,0.05400000140070915,0.05400000140070915
80,3,57,103658.66770729999,1,1113.814697265625,669.82470703125,0.1080000028014183,0.05400000140070915
80,3,57,103658.66770729999,2,1136.6650390625,658.7135620117188,0.16200000047683716,0.05400000140070915
80,3,57,103658.66770729999,5,1189.17919921875,676.3173828125,0.16200000047683716,0.1080000028014183
81,3,58,103658.70166965,0,1095.0635986328125,681.781494140625,0.05400000140070915,0.05400000140070915
81,3,58,103658.70166965,1,1113.4559326171875,669.8489990234375,0.1080000028014183,0.05400000140070915
81,3,58,103658.70166965,5,1190.060791015625,676.2593994140625,0.16200000047683716,0.1080000028014183
87,3,62,103659.03576639999,0,1095.0650634765625,681.8194580078125,0.05400000140070915,0.05400000140070915
87,3,62,103659.03576639999,1,1113.8133544921875,669.618896484375,0.1080000028014183,0.05400000140070915
