,sync_index,port_A,port_B,time_A,time_B,point_id,loc_board_x,loc_board_y,loc_img_x_A,loc_img_y_A,loc_img_x_B,loc_img_y_B
219,25,0,2,152737.5037,152737.5017,10,0.10499999672174454,0.20999999344348907,1145.3927001953125,439.4742431640625,998.3482666015625,661.3133544921875
220,25,0,2,152737.5037,152737.5017,11,0.1574999988079071,0.20999999344348907,1146.4849853515625,491.0858459472656,1007.3856811523438,723.6317749023438
221,26,0,2,152738.0018,152738.002,0,0.05249999836087227,0.05249999836087227,982.6248779296875,373.10137939453125,817.3225708007812,572.36376953125
222,26,0,2,152738.0018,152738.002,1,0.10499999672174454,0.05249999836087227,986.77783203125,421.8814697265625,824.8800048828125,629.3506469726562
223,26,0,2,152738.0018,152738.002,2,0.1574999988079071,0.05249999836087227,989.873291015625,470.9472351074219,833.3255615234375,685.8656616210938
224,26,0,2,152738.0018,152738.002,3,0.05249999836087227,0.10499999672174454,1037.6614990234375,371.2411804199219,870.1861572265625,569.717041015625
225,26,0,2,152738.0018,152738.002,4,0.10499999672174454,0.10499999672174454,1041.6666259765625,422.31781005859375,879.0977783203125,628.7692260742188
226,26,0,2,152738.0018,152738.002,5,0.1574999988079071,0.10499999672174454,1045.66162109375,472.8160705566406,887.0982666015625,688.5247192382812
227,26,0,2,152738.0018,152738.002,6,0.05249999836087227,0.1574999988079071,1096.5338134765625,369.4947814941406,928.4652709960938,567.1984252929688
228,26,0,2,152738.0018,152738.002,7,0.10499999672174454,0.1574999988079071,1099.9407958984375,422.39764404296875,938.0963134765625,629.1254272460938
229,26,0,2,152738.0018,152738.002,8,0.1574999988079071,0.1574999988079071,1103.2420654296875,475.39300537109375,947.6009521484375,691.8011474609375
230,26,0,2,152738.0018,152738.002,9,0.05249999836087227,0.20999999344348907,1159.4208984375,367.4305419921875,994.4349365234375,563.4959716796875
231,26,0,2,152738.0018,152738.002,10,0.10499999672174454,0.20999999344348907,1163.280029296875,422.2853088378906,1004.1189575195312,629.1422119140625
232,26,0,2,152738.0018,152738.002,11,0.1574999988079071,0.20999999344348907,1165.27099609375,477.2214050292969,1014.1668701171875,695.4415283203125
233,27,0,2,152738.5019,152738.502,0,0.05249999836087227,0.05249999836087227,980.533447265625,341.0806884765625,802.3345336914062,537.6766967773438
234,27,0,2,152738.5019,152738.502,1,0.10499999672174454,0.05249999836087227,986.03759765625,391.4441223144531,812.3902587890625,595.1926879882812
235,27,0,2,152738.5019,152738.502,2,0.1574999988079071,0.05249999836087227,991.1598510742188,441.8869934082031,822.542724609375,652.8587036132812
