sync_index,port,frame_index,frame_time,point_id,img_loc_x,img_loc_y,board_loc_x,board_loc_y
49,3,48,96681.00139705,4,163.9536895751953,128.49610900878906,0.1080000028014183,0.1080000028014183
49,3,48,96681.00139705,5,197.15882873535156,126.35823822021484,0.16200000047683716,0.1080000028014183
49,3,48,96681.00139705,6,134.39306640625,153.7508087158203,0.05400000140070915,0.16200000047683716
49,3,48,96681.00139705,7,168.63780212402344,152.59571838378906,0.1080000028014183,0.16200000047683716
49,3,48,96681.00139705,8,201.36973571777344,149.50103759765625,0.16200000047683716,0.16200000047683716
49,3,48,96681.00139705,9,137.42251586914062,181.63412475585938,0.05400000140070915,0.2160000056028366
49,3,48,96681.00139705,10,171.38075256347656,178.6929473876953,0.1080000028014183,0.2160000056028366
49,3,48,96681.00139705,11,205.51710510253906,176.5266876220703,0.16200000047683716,0.2160000056028366
49,1,48,96681.00137015,0,76.23482513427734,191.6444091796875,0.05400000140070915,0.05400000140070915
49,1,48,96681.00137015,1,113.2938232421875,178.51812744140625,0.1080000028014183,0.05400000140070915
49,1,48,96681.00137015,2,149.8473358154297,164.73268127441406,0.16200000047683716,0.05400000140070915
49,1,48,96681.00137015,3,64.51097106933594,214.5023956298828,0.05400000140070915,0.1080000028014183
49,1,48,96681.00137015,4,103.63145446777344,202.6060028076172,0.1080000028014183,0.1080000028014183
49,1,48,96681.00137015,5,142.84864807128906,188.68316650390625,0.16200000047683716,0.1080000028014183
49,1,48,96681.00137015,6,54.58794403076172,242.65208435058594,0.05400000140070915,0.16200000047683716
49,1,48,96681.00137015,7,94.7551498413086,230.72789001464844,0.1080000028014183,0.16200000047683716
49,1,48,96681.00137015,8,134.3455810546875,214.7256622314453,0.16200000047683716,0.16200000047683716
49,1,48,96681.00137015,9,42.884639739990234,272.52899169921875,0.05400000140070915,0.2160000056028366
49,1,48,96681.00137015,10,83.49295806884766,257.7211608886719,0.1080000028014183,0.2160000056028366
49,1,48,96681.00137015,11,126.47471618652344,243.59825134277344,0.16200000047683716,0.2160000056028366
49,0,48,96681.00032125,0,204.45223999023438,339.5644836425781,0.05400000140070915,0.05400000140070915
49,0,48,96681.00032125,1,232.46456909179688,333.1504211425781,0.1080000028014183,0.05400000140070915
49,0,48,96681.00032125,2,260.2891540527344,328.3002624511719,0.16200000047683716,0.05400000140070915
