,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
119,119,34.504964349999995,34.520915,34.5057932
120,120,34.67222105,34.6812282,34.6761529
121,121,34.83939005,34.852363999999994,34.83704965
122,122,35.019636899999995,35.00573175,35.007009350000004
123,123,35.1832885,35.175761800000004,35.18105835
124,124,35.3600535,35.362810350000004,35.3619444
125,125,35.506555750000004,35.5129797,35.5072499
126,126,35.67182585,35.68794825,35.672934049999995
127,127,35.8447045,35.8472709,35.84145345
128,128,36.01894555,36.0180788,36.0046448
129,129,36.17871155,36.1759671,36.179708250000004
130,130,36.339657,36.340395099999995,36.34647445
131,131,36.5052173,36.5083434,36.5189264
132,132,36.67225415,36.6782493,36.682490200000004
133,133,36.843357,36.8415117,36.85164775
134,134,37.00904855,37.008699899999996,37.01742025
135,135,37.1726194,37.177390700000004,37.185968
