,Sync_Index,Port_0_Time,Port_1_Time,Port_2_Time
121,121,dropped,249085.88721275,249085.8689381
122,122,dropped,dropped,249085.90186265
123,123,dropped,dropped,249085.96901825
124,124,dropped,249086.01762615,249086.00204105
125,125,dropped,249086.01762615,249086.00204105
126,126,249086.04151295,dropped,249086.03491325
127,127,249086.1395613,dropped,249086.13504974998
128,128,249086.1395613,dropped,249086.13504974998
129,129,249086.1395613,dropped,249086.13504974998
130,130,dropped,249086.15659189998,249086.16784840001
131,131,dropped,dropped,249086.2018639
132,132,249086.2455452,dropped,249086.23410315003
133,133,dropped,249086.2871226,249086.26804475
134,134,dropped,dropped,249086.3019505
135,135,dropped,249086.4176019,249086.40231035
136,136,dropped,249086.4176019,249086.40231035
137,137,dropped,249086.4176019,249086.40231035
138,138,249086.4413487,dropped,249086.4351915
139,139,249086.5392365,dropped,249086.53536804998
140,140,249086.5392365,dropped,249086.53536804998
141,141,249086.5392365,dropped,249086.53536804998
142,142,dropped,249086.55623624998,249086.56835605
143,143,dropped,dropped,249086.6017923
144,144,249086.64554155,dropped,249086.63506210002
145,145,dropped,249086.68719775,249086.6679052
146,146,dropped,dropped,249086.70190985
147,147,249086.7438379,dropped,249086.7350954
148,148,dropped,249086.81785745,249086.80208634998
149,149,dropped,249086.81785745,249086.80208634998
150,150,249086.84164985002,dropped,249086.83508225
151,151,249086.9395955,dropped,249086.93500310002
152,152,249086.9395955,dropped,249086.93500310002
153,153,249086.9395955,dropped,249086.93500310002
154,154,dropped,249086.95612659998,249086.96896125
155,155,dropped,dropped,249087.00190545002
156,156,249087.04557805002,dropped,249087.03497605
157,157,dropped,249087.08708835,249087.06908165
158,158,dropped,dropped,249087.1018983
159,159,dropped,dropped,249087.16905115
160,160,dropped,249087.2177379,249087.2020503
161,161,dropped,249087.2177379,249087.2020503
162,162,249087.2412618,dropped,249087.23501745
163,163,249087.33904574998,dropped,249087.33529045002
164,164,249087.33904574998,dropped,249087.33529045002
165,165,249087.33904574998,dropped,249087.33529045002
166,166,dropped,249087.35670305,249087.36828629998
167,167,dropped,dropped,249087.40174275002
168,168,249087.44547844998,dropped,249087.4349292
169,169,dropped,249087.4870133,249087.46787525
170,170,dropped,dropped,249087.50170345
171,171,dropped,dropped,249087.5685762
172,172,dropped,249087.61792485003,249087.60118115
173,173,dropped,249087.61792485003,249087.60118115
